seed,profile,ants_requested,pre_days,post_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,2,0.5,initial_food,960,180,0,0,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2389598119,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,29,1983,27,0,0,85,87,0.018,240,0,25.6,61.5,0.18,0,0,0,0,0,0,0,0,0,1,205,0,0,0,34,0,122,53,0,27,0,0,0,0,0,34,22738,0,31150,0,0,0
1,low,240,2,0.5,relocated_food,220,620,0,0,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1918878454,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,25,1976,36,0,0,84,88,0.018,240,0,25.7,60.7,0.2,0,0,0,0,0,0,0,0,0,0,206,0,0,0,34,0,83,86,0,36,0,0,0,0,0,34,39317,0,30349,0,0,0
2,low,240,2,0.5,initial_food,960,180,7,38,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,989911047,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,67,1980,44,0,0,85,88,0.018,240,0,25.6,61.5,0.18,7,0,7,38,0,3.5,0,0,0,198,6,0,0,0,36,0,85,72,0,44,0,0,0,0,0,36,39359,0,28975,0,0,0
2,low,240,2,0.5,relocated_food,220,620,1,3,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3178873215,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,67,1976,52,0,0,85,88,0.018,240,0,25.7,60.7,0.2,8,0,8,41,0,3.2,0,0,0,198,6,0,0,0,36,0,59,93,0,52,0,0,0,0,0,36,45544,0,27380,0,0,0
3,low,240,2,0.5,initial_food,960,180,1,5,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4009662904,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,33,1980,57,0,0,85,88,0.018,240,0,25.6,61.5,0.18,1,0,1,5,0,0.5,0,0,0,35,182,0,0,0,23,0,91,68,0,57,0,0,0,0,0,23,42784,0,30191,0,0,0
3,low,240,2,0.5,relocated_food,220,620,0,0,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1727546811,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,27,1972,60,0,0,86,89,0.018,240,0,25.7,60.7,0.2,1,0,1,5,0,0.4,0,0,0,12,205,0,0,0,23,0,76,80,0,60,0,0,0,0,0,23,44269,0,28438,0,0,0
4,low,240,2,0.5,initial_food,960,180,1,6,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2719050963,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,35,1982,49,0,0,84,88,0.018,240,0,25.6,61.5,0.17,1,0,1,6,0,0.5,0,0,0,35,177,0,0,0,28,0,81,78,0,49,0,0,0,0,0,28,43886,0,30061,0,0,0
4,low,240,2,0.5,relocated_food,220,620,2,9,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3498653304,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,39,1975,54,0,0,84,89,0.018,240,0,25.7,60.7,0.2,3,0,3,15,0,1.2,0,0,0,39,173,0,0,0,28,0,52,104,0,54,0,0,0,0,0,28,52334,0,28413,0,0,0
5,low,240,2,0.5,initial_food,960,180,2,11,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,955719056,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,40,1979,54,0,0,85,87,0.018,240,0,25.6,61.5,0.18,2,0,2,11,0,1,0,0,0,97,111,0,0,0,32,0,84,70,0,54,0,0,0,0,0,32,38639,0,29153,0,0,0
5,low,240,2,0.5,relocated_food,220,620,2,12,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1399921546,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,50,1975,56,0,0,85,87,0.018,240,0,25.7,60.7,0.2,4,0,4,23,0,1.6,0,0,0,104,104,0,0,0,32,0,51,98,0,56,0,0,0,0,0,32,56689,0,27213,0,0,0
